1	bury your head in the sand
1, 15	a flash in the pan
1	Necessity is the mother of invention.
1	as quiet as a mouse
1	take a shine to sb
2	Big Brother
2	run its course
2	debt of honour
2	domino effect
2, 41	open the door to
2	drop in on
2	prick your ears up
2	go up in the world
2	knock into shape
2	be quids in
2	as stiff/straight as a ramrod
2	sink like a stone
2	as stiff as a ramrod
2	as straight as a ramrod
2	go the whole hog
2	lick your wounds
3	behind sb's back
3	get off your backside
3	behind your back
3	be beyond the pale
3	like a deer/rabbit caught in the headlights
3	the shit hits the fan
3, 60	feather your own nest
3	be given the sack
3	go spare
3	hopping mad
3	to say the least
3	like it or lump it
3	make a name for
3	self-made man
3	know no bounds
3	as thick as two short planks
3	the power behind the throne
3, 14	run a tight ship
4	a black mark
4	bluff your way
4	launch a campaign
4	be a casualty of
4, 25	be/take centre stage
4	get/take the flak
4	join forces with
4	be getting/going nowhere
4	be given/get your marching orders
4	see the joke
4	see the light
4	be a minefield
4, 40, 52	There's no time like the present.
4	see the point
4	pull rank
4	see reason
4, 36	see red
4	see sense
4	have sth up your sleeve
4, 25	be/take centre-stage
4	take the flak
4, 25	take centre stage
4	uncharted territory/waters
5	spirit of adventure
5	like a bear with a sore head
5	the bigger they are/come, the harder they fall
5	clip sb's wings
5	from the cradle to the grave
5	sb's days are numbered
5	the good old days
5	every Tom, Dick and Harry
5	the tip of the iceberg
5	tie the knot
5	do anything for a quiet life
5	risk life and limb
5	at a loss for words
5	make a mountain out of a molehill
5	up-to-the-minute
5	sb's/sth's days are numbered
5	out of your own pocket
5	sick and tired
6	be blown away by sth
6	be back to square one
6	fringe benefits
6	have sth burning a hole in your pocket
6	as dead as a dodo
6	part and parcel
6	a recipe for disaster
7	drop the ball
7	right off the bat
7	be batting a thousand
7	take the biscuit/cake
7	cry/weep buckets
7	the frosting/icing on the cake
7	like the cat that ate the canary
7	cold/hard cash
7, 9	fight like cat and dog
7	like the cat that got the cream
7	catch some z's
7	not be worth a dime
7	donkey/grunt work
7	fighting fit
7	be fresh out of sth
7	lose the plot
7	throw sb a curveball
8	be head and shoulders above sb
8	big time
8	it doesn't float my boat
8	Whatever floats your boat!
8	be cool with
8	under the counter
8	end of (story)!
8	Don't even go there!
8	it does exactly what it says on the tin
8	go the extra mile
8	fall off the radar
8	the first lady of sth
8	the sb/sth from hell
8	too much information
8	like nailing jelly to a wall
9	be all over sb like a rash
9	as red as a beetroot
9	as dry as a bone
9	as bright as a button
9	as poor as a church mouse
9	as clear as crystal
9	as clear as mud
9	as fresh as a daisy
9	work like a dog
9	drive like a maniac
9	as dry as dust
9	a face like thunder
9	fit like a glove
9	as quick as a flash
9	as silent as the grave
9	as keen as mustard
9	as stubborn as a mule
9	as thin as a rake
9	run like the wind
9	as smooth as silk
9	as thick as thieves
10	out and about
10	time after time
10	black and blue
10	black and white
10	blood, sweat and tears
10	bumper to bumper
10	hustle and bustle
10	chalk and cheese
10	nook and cranny
10	in dribs and drabs
10	here, there and everywhere
10	fingers and thumbs
10	give and/or take
10	hit and miss
10	huff and puff
10	little by little
10	neat and tidy
10	neck and neck
10	at sixes and sevens
10	spick and span
10	give or take
10	wear and tear
10	wax and wane
11	All's fair in love and war.
11	better safe than sorry.
11	Rome wasn't built in a day.
11	Every cloud has a silver lining.
11	come to a standstill
11	first come, first served
11	no pain no gain
11	Nothing ventured, nothing gained.
11	Variety is the spice of life.
11	It never rains but it pours.
11, 50	It takes two to tango.
11	Where there's a will there's a way.
12	It's easy to be wise after the event.
12	I'll believe it when I see it.
12	Ignorance is bliss.
12, 44	Give me a break!
12	Look on the bright side.
12	You can lead a horse to water, but you can't make it drink.
12	Take it easy.
12	enough is as good as a feast.
12	fair's fair
12	So far, so good.
12	It's not over until the fat lady sings.
12	There are plenty more fish in the sea.
12	Any friend of yours is a friend of mine.
12, 44	good riddance (to bad rubbish)!
12	Hindsight is a wonderful thing.
12	You can lead a horse to water (but you can't make him drink).
12	You can lead a horse to water (but you can't make it drink).
12	Mum's the word.
12, 44	Good riddance (to bad rubbish!)
12	It's not over till the fat lady sings.
12	get your skates on
12	truth will out
13	a fait accompli
13	ad hoc
13	ad infinitum
13	be au fait with
13	bête noire
13	plus ça change
13	compos mentis
13	crème de la crème
13	c'est la vie
13	de facto
13	laissez-faire
13	non sequitur
13	status quo
14	be taken aback
14	batten down the hatches
14	give sb/sth a wide berth
14	go by the board
14	cut and run
14	all hands on deck
14	leave sb high and dry
